nct_id,dropout_percentage_all,Clinical Title,Overall Status,Trial Phase,Allocation,Start Date,Completion Date,Primary Purpose,City,State,Zipcode,Gender,Minimum Age,Maximum Age,New Completion Date,New Start Date,length_of_trial
NCT00079937,14.96609178,"Efficacy and Safety of Omalizumab in Children (6 - < 12 Years) With Moderate-severe, Inadequately Controlled Allergic Asthma",Completed,Phase 3,Randomized,April 2004,March 2008,Treatment,Birmingham,Alabama,35209,All,6 Years,11 Years,2008-03-01,2004-04-01,1430.0
NCT00080223,54.21686747,Safety Study of Oral Pirfenidone in Patients With Pulmonary Fibrosis/Idiopathic Pulmonary Fibrosis,Completed,Phase 2,,"August 31, 2003","April 30, 2015",Other,Phoenix,Arizona,85006,All,40 Years,85 Years,2015-04-01,2003-08-01,4261.0
NCT00080938,52.38095238,Temozolomide and Radiation Therapy in Treating Patients With Brain Metastasis Secondary to Non-Small Cell Lung Cancer,Completed,Phase 2,,"December 20, 2005",February 2009,Treatment,,,,All,18 Years,,2009-02-01,2005-12-01,1158.0
NCT00087438,0.0,Stereotactic Body Radiation Therapy in Treating Patients With Inoperable Stage I or Stage II Non-Small Cell Lung Cancer,Completed,Phase 2,,May 2004,December 2016,Treatment,Rochester,New York,14642,All,18 Years,,2016-12-01,2004-05-01,4597.0
NCT00087698,18.18181818,Phase II Trial of Neo-Adjuvant Pemetrexed Plus Cisplatin Followed by Surgery and Radiation for Pleural Mesothelioma,Completed,Phase 2,Non-Randomized,September 2003,February 2008,Treatment,San Francisco,California,,All,18 Years,,2008-02-01,2003-09-01,1614.0
NCT00090142,7.258064516,Montelukast in Exercise-Induced Bronchospasm - 2004 (0476-275),Completed,Phase 3,Randomized,May 2004,October 2004,Prevention,,,,All,15 Years,45 Years,2004-10-01,2004-05-01,153.0
NCT00092118,7.378878606,The Clinical Effects of Montelukast in Patients With Perennial Allergic Rhinitis (0476-265),Completed,Phase 3,Randomized,October 2003,May 2004,Treatment,,,,All,15 Years,85 Years,2004-05-01,2003-10-01,213.0
NCT00092131,1.960784314,Montelukast in Exercise-Induced Bronchospasm - 2003 (0476-270),Completed,Phase 3,Randomized,June 2003,November 2003,Prevention,,,,All,15 Years,45 Years,2003-11-01,2003-06-01,153.0
NCT00094094,21.875,Anti-angiogenesis Agent AG-013736 in Patients With Advanced Non-Small Cell Lung Cancer,Completed,Phase 2,,February 2005,July 2007,Treatment,Irvine,California,92612,All,18 Years,,2007-07-01,2005-02-01,880.0
NCT00094861,20.25288376,Study to Evaluate Palifermin in the Reduction of Dysphagia in Patients With Locally Advanced Non-Small Cell Lung Cancer (NSCLC),Completed,Phase 2,Randomized,January 2005,January 2014,Treatment,,,,All,18 Years,,2014-01-01,2005-01-01,3287.0
NCT00095199,18.6503884,Docetaxel or Pemetrexed With or Without Cetuximab in Patients With Recurrent or Progressive Non-Small Cell Lung Cancer,Completed,Phase 3,Randomized,January 2005,July 2011,Treatment,Birmingham,Alabama,35294,All,18 Years,,2011-07-01,2005-01-01,2372.0
NCT00096226,26.31578947,"Paclitaxel, Carboplatin, and Radiation Therapy in Treating Patients Who Are Undergoing Surgery for Stage III Non-Small Cell Lung Cancer",Completed,Phase 2,,September 2004,"May 16, 2016",Treatment,Phoenix,Arizona,85013,All,18 Years,,2016-05-01,2004-09-01,4260.0
NCT00096486,6.477732794,Gefitinib and Everolimus in Treating Patients With Stage IIIB or Stage IV or Recurrent Non-Small Cell Lung Cancer,Completed,Phase 1/Phase 2,,May 2004,July 2010,Treatment,New York,New York,10021,All,18 Years,120 Years,2010-07-01,2004-05-01,2252.0
NCT00097773,6.25,Comparison of Two Treatment Regimens to Reduce PA Infection in Children With Cystic Fibrosis,Completed,Phase 2,Randomized,September 2004,August 2009,Prevention,Birmingham,Alabama,35233,All,1 Year,12 Years,2009-08-01,2004-09-01,1795.0
NCT00098254,5.405405405,BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer,Completed,Phase 2,Non-Randomized,December 2004,January 2011,Treatment,Bethesda,Maryland,20892,All,18 Years,,2011-01-01,2004-12-01,2222.0
NCT00100932,21.97802198,"Phase II Study Of E7389, Halichondrin B Analogue, In Patients With Advanced Non-Small Cell Lung Cancer, NSCLC, Who Progressed During Or After Platinum-Based Doublet Chemotherapy",Completed,Phase 2,Non-Randomized,December 2004,,Treatment,Gilroy,California,,All,18 Years,,,2004-12-01,
NCT00102804,12.79340565,Pemetrexed and Best Supportive Care Versus Placebo and Best Supportive Care in Non-Small Cell Lung Cancer (NSCLC),Completed,Phase 3,Randomized,March 2005,December 2013,Treatment,Minneapolis,Minnesota,55455,All,18 Years,,2013-12-01,2005-03-01,3197.0
NCT00103259,13.95881007,Bortezomib With or Without Irinotecan in Treating Patients With Locally Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck,Completed,Phase 2,Randomized,July 2005,November 2011,Treatment,Boston,Massachusetts,02215,All,18 Years,,2011-11-01,2005-07-01,2314.0
NCT00104520,52.59259259,Safety and Efficacy Study of Aztreonam for Inhalation Solution (AZLI) in Cystic Fibrosis Patients With P. Aeruginosa,Completed,Phase 3,Randomized,February 2005,September 2006,Treatment,Phoenix,Arizona,,All,6 Years,,2006-09-01,2005-02-01,577.0
NCT00105183,5.188943886,EZ-2053 in the Prophylaxis of Acute Pulmonary Allograft Rejection,Completed,Phase 3,Randomized,January 2005,January 2011,Prevention,Los Angeles,California,90048,All,18 Years,,2011-01-01,2005-01-01,2191.0
NCT00107952,5.361968834,Comparison of Telavancin and Vancomycin for Hospital-acquired Pneumonia Due to Methicillin-resistant Staphylococcus Aureus,Completed,Phase 3,Randomized,February 2005,July 2007,Treatment,Springfield,Massachusetts,01199,All,18 Years,,2007-07-01,2005-02-01,880.0
NCT00111839,26.26866917,Effects of Matuzumab in Combination With Pemetrexed for the Treatment of Advanced Lung Cancer,Completed,Phase 2,Randomized,"May 31, 2005","March 31, 2009",Treatment,Tucson,Arizona,85715,All,18 Years,,2009-03-01,2005-05-01,1400.0
NCT00112294,0.0,Study of Taxane/Carboplatin +/- Cetuximab as First-Line Treatment for Patients With Advanced/Metastatic Non-Small Cell Lung Cancer,Completed,Phase 3,Randomized,December 2004,August 2008,Treatment,Birmingham,Alabama,,All,18 Years,,2008-08-01,2004-12-01,1339.0
NCT00112359,24.19642857,International Safety and Efficacy Study of Aztreonam for Inhalation Solution (AZLI) in Cystic Fibrosis Patients With P. Aeruginosa,Completed,Phase 3,Randomized,May 2005,April 2007,Treatment,Birmingham,Alabama,,All,6 Years,,2007-04-01,2005-05-01,700.0
NCT00113516,26.19047619,A Study Of SU011248 As Therapy In Patients With Locally Advanced Or Metastatic Non-Small Cell Lung Cancer,Completed,Phase 2,Non-Randomized,September 2005,March 2009,Treatment,Los Angeles,California,90048,All,18 Years,,2009-03-01,2005-09-01,1277.0
NCT00117325,6.25181645,Study Of Adults And Adolescents With Vasomotor Rhinitis,Completed,Phase 3,Randomized,"July 11, 2005","February 9, 2006",Treatment,Beverly Hills,California,90212,All,12 Years,,2006-02-01,2005-07-01,215.0
NCT00117338,2.524348513,A Study of an Intravenous Drug in Pediatric Patients With Acute Asthma (0476-301),Completed,Phase 3,Randomized,July 2005,March 2008,Treatment,,,,All,6 Years,14 Years,2008-03-01,2005-07-01,974.0
NCT00117572,4.396135266,Docetaxel Based Chemotherapy Plus or Minus Induction Chemotherapy to Decrease Events in Head and Neck Cancer (DeCIDE),Completed,Phase 3,Randomized,November 2004,December 2016,Treatment,Los Angeles,California,90033,All,18 Years,,2016-12-01,2004-11-01,4413.0
NCT00118703,4.031293602,Once-Daily Investigational Nasal Spray In Adults And Adolescents With Vasomotor Rhinitis,Completed,Phase 3,Randomized,"July 1, 2005","February 9, 2006",Treatment,Birmingham,Alabama,35209,All,12 Years,,2006-02-01,2005-07-01,215.0
NCT00124020,5.416724836,Comparison of Telavancin and Vancomycin for Hospital-acquired Pneumonia Due to Methicillin-resistant Staphylococcus Aureus,Completed,Phase 3,Randomized,January 2005,May 2007,Treatment,Tel Hashomer,,52621,All,18 Years,,2007-05-01,2005-01-01,850.0
NCT00124618,0.0,Cetuximab and Radiation Therapy in Treating Patients With Stage III Non-Small Cell Lung Cancer,Completed,Phase 2,,January 2006,March 2015,Treatment,Scottsdale,Arizona,85259-5499,All,18 Years,,2015-03-01,2006-01-01,3346.0
NCT00125359,11.9047619,Study of Tarceva and Targretin Oral Capsules in Patients With Advanced Lung Cancer,Completed,Phase 2,,August 2005,March 2014,Treatment,Lebanon,New Hampshire,03756,All,18 Years,,2014-03-01,2005-08-01,3134.0
NCT00127166,4.520917679,Two Investigational Drugs in the Prevention of Airway Constriction Brought on by Exercise in Participants With Asthma (0476-911),Completed,Phase 3,Randomized,December 2005,November 2008,Treatment,,,,All,6 Years,14 Years,2008-11-01,2005-12-01,1066.0
NCT00127855,2.207317073,Dose Ranging Study of Combined Haemophilus Influenzae Type B-Meningococcal Serogroups CY (Hib-MenCY-TT) Vaccine,Completed,Phase 2,Randomized,"March 1, 2003","February 12, 2004",Prevention,North Adelaide,South Australia,5006,All,6 Weeks,12 Weeks,2004-02-01,2003-03-01,337.0
NCT00128492,25.13849984,Safety and Efficacy Study of Aztreonam for Inhalation Solution (AZLI) in Cystic Fibrosis (CF) Patients With Pseudomonas Aeruginosa (PA),Completed,Phase 3,Non-Randomized,August 2005,January 2009,Treatment,Birmingham,Alabama,,All,6 Years,,2009-01-01,2005-08-01,1249.0
NCT00129116,3.096903097,"3 Formulations of Hib-MenCY-TT Vaccine & 1 Formulation of Hib-MenC-TT Vaccine Compared to Licensed Meningococcal Serogroup C Conjugate Vaccine, Each Administered at 2,3,4 Mths of Age",Completed,Phase 2,Randomized,"March 1, 2003","December 16, 2003",Prevention,Asse,Bayern,1730,All,6 Weeks,12 Weeks,2003-12-01,2003-03-01,275.0
NCT00129766,1.62806476,Study of MEDI-524 (Motavizumab) for the Prophylaxis of Serious Respiratory Syncytial Virus (RSV) Disease in High-Risk Children,Completed,Phase 3,Randomized,November 2004,May 2006,Prevention,Birmingham,Alabama,35233,All,,24 Months,2006-05-01,2004-11-01,546.0
NCT00138658,34.56790123,A Study of OGX-011/Gemcitabine/Platinum-Based Regimen in Stage IIIB/IV Non-Small Cell Lung Cancer (NSCLC),Completed,Phase 1/Phase 2,,November 2004,March 2010,Treatment,Los Angeles,California,90033,All,18 Years,,2010-03-01,2004-11-01,1946.0
NCT00139659,19.38453318,A One Year Clinical Trial Assessing the Usefulness and Safety of Inhaled Insulin in Diabetics With Asthma,Completed,Phase 3,Randomized,January 2003,October 2008,Treatment,Glendale,Arizona,85306,All,18 Years,77 Years,2008-10-01,2003-01-01,2100.0
NCT00143455,26.38508416,Study Of Irinotecan Hydrochloride (Campto(R)) And Cisplatin Versus Etoposide And Cisplatin In Small Cell Lung Cancer,Completed,Phase 3,Randomized,June 2002,December 2008,Treatment,Wels,,A-4600,All,18 Years,75 Years,2008-12-01,2002-06-01,2375.0
NCT00144339,40.99070223,Evaluation of the Long- Term Effects of Spiriva on Lung Function in COPD Patients,Completed,Phase 3,,December 2002,,Treatment,Anniston,Alabama,,All,40 Years,,,2002-12-01,
NCT00147537,41.98247536,"Combination Study Of CP-751,871 With Paclitaxel And Carboplatin In Advanced Lung Cancer",Completed,Phase 1/Phase 2,Randomized,February 2005,August 2011,Treatment,Tucson,Arizona,85719,All,18 Years,,2011-08-01,2005-02-01,2372.0
NCT00157196,0.0,Safety Study of Tecemotide (L-BLP25) in Non-Small Cell Lung Cancer (NSCLC) Subjects With Unresectable Stage III Disease,Completed,Phase 2,,April 2005,April 2012,Treatment,,,,All,18 Years,,2012-04-01,2005-04-01,2557.0
NCT00157209,0.0,Phase 2b Randomized Controlled Study of Tecemotide (L-BLP25) for Immunotherapy of NSCLC (Non-Small Cell Lung Cancer),Completed,Phase 2,Randomized,August 2000,July 2012,Treatment,Darmstadt,,,All,18 Years,,2012-07-01,2000-08-01,4352.0
NCT00159822,35.41666667,Voriconazole For Chronic Bronchopulmonary Aspergillosis,Completed,Phase 2/Phase 3,Non-Randomized,July 2005,December 2008,Treatment,Nantes,Cedex,44093,All,18 Years,,2008-12-01,2005-07-01,1249.0
NCT00159913,2.673160173,"A Randomized, Double-Blind, Placebo-Controlled Study of Sildenafil in Children With Pulmonary Arterial Hypertension.",Completed,Phase 3,Randomized,August 2003,June 2008,Treatment,Palo Alto,California,94304,All,1 Year,17 Years,2008-06-01,2003-08-01,1766.0
NCT00168831,25.35410676,Tiotropium / Respimat One-Year Study,Completed,Phase 3,Randomized,February 2003,,Treatment,Birmingham,Alabama,,All,40 Years,,,2003-02-01,
NCT00168844,20.55305863,Tiotropium / Respimat One-Year Study,Completed,Phase 3,Randomized,January 2003,,Treatment,Los Angeles,California,,All,40 Years,,,2003-01-01,
NCT00171834,45.71428571,"Dose Escalating Study of the Safety and Efficacy of Patupilone, q3w, in Patients With Non-small Cell Lung Cancer",Completed,Phase 1/Phase 2,Non-Randomized,August 2003,September 2008,Treatment,Louisville,Kentucky,40232-5070,All,18 Years,,2008-09-01,2003-08-01,1858.0
NCT00172042,33.68703603,A Study to Evaluate the Safety and Efficacy of Zoledronic Acid in the Prevention or Delaying of Bone Metastasis in Patients With Stage IIIA and IIIB Non-small Cell Lung Cancer (NSCLC),Completed,Phase 3,Randomized,March 2005,June 2010,Prevention,Jette,,,All,18 Years,,2010-06-01,2005-03-01,1918.0
NCT00182689,32.25146199,Sorafenib in Treating Patients With Extensive Stage Small Cell Lung Cancer,Completed,Phase 2,,July 2005,October 2008,Treatment,Portland,Oregon,97239,All,18 Years,,2008-10-01,2005-07-01,1188.0
NCT00191139,21.875,"Gemcitabine or Gemcitabine Plus Docetaxel After Cisplatin, Etoposide and Radiation in Non Small Cell Lung Cancer (NSCLC)",Completed,Phase 2,Randomized,March 2003,February 2009,Treatment,Denver,Colorado,80218,All,18 Years,,2009-02-01,2003-03-01,2164.0
NCT00191191,28.24074074,To Investigate Efficacy and Safety of Pemetrexed as Second or Third Line Therapy in Patients With Non-small Cell Lung Cancer (NSCLC),Completed,Phase 2,Randomized,October 2004,October 2008,Treatment,Chiba,,,All,20 Years,75 Years,2008-10-01,2004-10-01,1461.0
NCT00191308,3.333333333,Molecular Profiling in Lung Cancer Patients,Completed,Phase 2,Non-Randomized,May 2005,December 2010,Treatment,Bystra Slaska,,43-360,All,18 Years,,2010-12-01,2005-05-01,2040.0
NCT00192036,28.57142857,Multicenter Phase 2 Trial Evaluating Cisplatin-Gemcitabine With Concomitant Thoracic Radiotherapy for Treatment of Inoperable Stage III Non Small Cell Lung Cancer,Completed,Phase 2,Non-Randomized,August 2004,November 2009,Treatment,Aalst,,9300,All,18 Years,,2009-11-01,2004-08-01,1918.0
NCT00197106,3.75,Treatment Of Symptomatic Asthma In Children,Completed,Phase 4,Randomized,June 2005,October 2008,Treatment,Almere,,1315 RA,All,6 Years,12 Years,2008-10-01,2005-06-01,1218.0
NCT00200967,13.96825397,Asthma Clinical Research Network (ACRN) Trial - Long-Acting Beta Agonist Response by Genotype (LARGE),Completed,Phase 3,Randomized,December 2004,February 2008,Treatment,San Diego,California,92103,All,18 Years,90 Years,2008-02-01,2004-12-01,1157.0
NCT00207740,23.05019542,A Study of Safety and Efficacy of CNTO 148 in Patients With Severe Persistent Asthma,Completed,Phase 2,Randomized,August 2004,July 2007,Treatment,Los Angeles,California,,All,18 Years,,2007-07-01,2004-08-01,1064.0
NCT00216203,6.060606061,Pemetrexed Plus Cetuximab in Patients With Recurrent Non Small Cell Lung Cancer,Completed,Phase 1/Phase 2,,May 2005,December 2008,Treatment,Galesburg,Illinois,61401,All,18 Years,,2008-12-01,2005-05-01,1310.0
NCT00227539,4.0,"Positron Emission Tomography in Predicting Response in Patients Who Are Undergoing Treatment With Pemetrexed Disodium and Cisplatin With or Without Surgery for Stage I, Stage II, or Stage III Non-Small Cell Lung Cancer",Completed,Phase 2,,July 2005,November 2013,Treatment,Seattle,Washington,98109-1023,All,18 Years,120 Years,2013-11-01,2005-07-01,3045.0
NCT00228553,47.60601915,Extension Study of the Safety and Efficacy of Armodafinil in the Treatment of Patients With Excessive Sleepiness,Completed,Phase 3,Non-Randomized,May 2004,July 2006,Treatment,Birmingham,Alabama,35213,All,18 Years,65 Years,2006-07-01,2004-05-01,791.0
NCT00228566,21.05263158,Study to Assess Patient Reported Outcomes With Armodafinil Treatment for Excessive Sleepiness in Adults With Narcolepsy or Obstructive Sleep Apnea/Hypopnea Syndrome,Completed,Phase 3,Non-Randomized,October 2005,July 2006,Treatment,Birmingham,Alabama,35213,All,18 Years,65 Years,2006-07-01,2005-10-01,273.0
NCT00231465,4.545454545,Phase II Study of Docetaxel + ZD1839 in Elderly Patients With Non-Small Cell Lung Cancer,Completed,Phase 2,,July 2003,August 2012,Treatment,Tampa,Florida,33612,All,70 Years,,2012-08-01,2003-07-01,3319.0
NCT00232557,5.958829902,Telecommunications System in Asthma,Completed,Phase 3,Randomized,August 2004,December 2009,,Boston,Massachusetts,02130,All,18 Years,,2009-12-01,2004-08-01,1948.0
NCT00243074,21.27659574,S0509 - AZD2171 in Treating Patients With Malignant Pleural Mesothelioma That Cannot Be Removed By Surgery,Completed,Phase 2,,November 2005,December 2011,Treatment,San Antonio,Texas,78245,All,18 Years,,2011-12-01,2005-11-01,2221.0
NCT00244725,7.650205539,Odiparcil For The Prevention Of Venous Thromboembolism,Completed,Phase 2,Randomized,September 2005,September 2006,Prevention,Birmingham,Alabama,35209,All,35 Years,,2006-09-01,2005-09-01,365.0
NCT00245570,0.3546099291,Montelukast Compared With Placebo and Salmeterol in Exercise-Induced Bronchoconstriction (0476-316),Completed,Phase 3,Randomized,December 2005,September 2006,Prevention,,,,All,15 Years,45 Years,2006-09-01,2005-12-01,274.0
NCT00247416,5.225806452,Effects of Carboplatin and Gemcitabine on Stage IIIB Pleural Effusion and Stage IV Lung Cancer,Completed,Phase 2,Randomized,August 2005,July 2009,Treatment,Danville,Kentucky,40422,All,18 Years,,2009-07-01,2005-08-01,1430.0
NCT00248495,2.631578947,"Pemetrexed Disodium and Cisplatin in Treating Patients Who Are Undergoing Surgery for Stage I, Stage II, or Stage III Non-Small Cell Lung Cancer",Completed,Phase 2,,"June 8, 2005","April 5, 2017",Treatment,Buffalo,New York,14263-0001,All,18 Years,120 Years,2017-04-01,2005-06-01,4322.0
NCT00250679,27.30371791,Safety and Efficacy of Arformoterol Tartrate Inhalation Solution in Subjects With Chronic Obstructive Pulmonary Disease,Completed,Phase 3,Randomized,October 2005,October 2007,Treatment,Birmingham,Alabama,33744,All,35 Years,,2007-10-01,2005-10-01,730.0
NCT00254566,8.838383838,A Trial To Evaluate Two Antibiotics For The Treatment Of Acute Exacerbation Of Chronic Bronchitis (AECB),Completed,Phase 3,Randomized,February 2006,August 2008,Treatment,Guangzhou,Guangdong,510080,All,50 Years,,2008-08-01,2006-02-01,912.0
NCT00255047,8.861391361,Safety and Immune Response of Different Pediatric Combination Vaccines.,Completed,Phase 3,Randomized,November 2005,February 2009,Prevention,Tuscaloosa,Alabama,35401,All,42 Days,89 Days,2009-02-01,2005-11-01,1188.0
NCT00257608,14.27432795,A Study Comparing Bevacizumab Therapy With or Without Erlotinib for First-Line Treatment of Non-Small Cell Lung Cancer (ATLAS),Completed,Phase 3,Randomized,January 2006,November 2014,Treatment,Mobile,Alabama,36608,All,18 Years,,2014-11-01,2006-01-01,3226.0
NCT00258895,1.952619971,Safety and Immunogenicity of DAPTACEL® as 5th Dose in Children 4 to 6 Years Old After 4 Doses of Pentacel™ or DAPTACEL®,Completed,Phase 3,Non-Randomized,March 2005,April 2007,Prevention,Fayetteville,Arkansas,15213,All,4 Years,6 Years,2007-04-01,2005-03-01,761.0
NCT00261833,11.80941787,Zemaira in Subjects With Emphysema Due to Alpha1-Proteinase Inhibitor Deficiency,Completed,Phase 4,Randomized,March 2006,September 2012,Treatment,Denver,Colorado,80206,All,18 Years,65 Years,2012-09-01,2006-03-01,2376.0
NCT00263887,6.477732794,Alpha-1-Antitrypsin (AAT) To Treat Emphysema In AAT-Deficient Patients (EXACTLE),Completed,Phase 2,Randomized,December 2003,January 2007,Treatment,Hellerup,England,2900,All,18 Years,,2007-01-01,2003-12-01,1127.0
NCT00264576,0.3262720886,Study of the Safety and Immunogenicity of an Influenza Vaccine Administered to Healthy Adults,Completed,Phase 2,Randomized,October 2005,May 2006,Prevention,Bardstown,Kentucky,40004,All,18 Years,49 Years,2006-05-01,2005-10-01,212.0
NCT00264849,10.89154412,Omalizumab in Adult and Adolescent Patients With Severe Persistent Allergic Asthma,Completed,Phase 4,Randomized,November 2005,September 2008,Treatment,Bruxelles,,,All,12 Years,75 Years,2008-09-01,2005-11-01,1035.0
NCT00265317,19.72445465,A Study In Patients With Non-Small Cell Lung Cancer Testing If Erlotinib Plus SU011248 (Sunitinib) Is Better Than Erlotinib Alone,Completed,Phase 2,Randomized,June 2006,January 2012,Treatment,Birmingham,Alabama,35233,All,18 Years,,2012-01-01,2006-06-01,2040.0
NCT00266877,14.98778999,Study Evaluating the Safety Of HKI-272 (Neratinib) In Subjects With Advanced Non-Small Cell Lung Cancer,Completed,Phase 2,Non-Randomized,December 2005,January 2009,Treatment,Los Angeles,California,90033,All,18 Years,,2009-01-01,2005-12-01,1127.0
NCT00267202,21.11722387,Study to Evaluate the Effect of Omalizumab on Improving the Tolerability of Specific Immunotherapy in Patients With Persistent Allergic Asthma,Completed,Phase 4,Randomized,December 2005,April 2008,Treatment,East Hanover,New Jersey,,All,18 Years,55 Years,2008-04-01,2005-12-01,852.0
NCT00269152,18.63061609,Feasibility Study of Pemetrexed in Combination With Cisplatin or Carboplatin as Adjuvant Treatment of Non-Small Cell Lung Cancer,Completed,Phase 2,Randomized,December 2005,July 2013,Treatment,Bordeaux,,33076,All,18 Years,,2013-07-01,2005-12-01,2769.0
