nct_id,dropout_percentage_all,Clinical Title,Overall Status,Trial Phase,Allocation,Start Date,Completion Date,Primary Purpose,City,State,Zipcode,Gender,Minimum Age,New Completion Date,New Start Date,length_of_trial,RUCA2.0,Cleaned_Zipcodes
NCT00117572,4.396135266,Docetaxel Based Chemotherapy Plus or Minus Induction Chemotherapy to Decrease Events in Head and Neck Cancer (DeCIDE),Completed,Phase 3,Randomized,November 2004,December 2016,Treatment,Los Angeles,California,90033,All,18.0,2016-12-01,2004-11-01,4413.0,1.0,90033
NCT00118703,4.031293602,Once-Daily Investigational Nasal Spray In Adults And Adolescents With Vasomotor Rhinitis,Completed,Phase 3,Randomized,"July 1, 2005","February 9, 2006",Treatment,Birmingham,Alabama,35209,All,12.0,2006-02-01,2005-07-01,215.0,1.0,35209
NCT00124618,0.0,Cetuximab and Radiation Therapy in Treating Patients With Stage III Non-Small Cell Lung Cancer,Completed,Phase 2,,January 2006,March 2015,Treatment,Scottsdale,Arizona,85259-5499,All,18.0,2015-03-01,2006-01-01,3346.0,1.0,85259
NCT00125359,11.9047619,Study of Tarceva and Targretin Oral Capsules in Patients With Advanced Lung Cancer,Completed,Phase 2,,August 2005,March 2014,Treatment,Lebanon,New Hampshire,03756,All,18.0,2014-03-01,2005-08-01,3134.0,1.0,03756
NCT00128492,25.13849984,Safety and Efficacy Study of Aztreonam for Inhalation Solution (AZLI) in Cystic Fibrosis (CF) Patients With Pseudomonas Aeruginosa (PA),Completed,Phase 3,Non-Randomized,August 2005,January 2009,Treatment,Birmingham,Alabama,,All,6.0,2009-01-01,2005-08-01,1249.0,1.0,35203
NCT00129766,1.62806476,Study of MEDI-524 (Motavizumab) for the Prophylaxis of Serious Respiratory Syncytial Virus (RSV) Disease in High-Risk Children,Completed,Phase 3,Randomized,November 2004,May 2006,Prevention,Birmingham,Alabama,35233,All,18.0,2006-05-01,2004-11-01,546.0,1.0,35233
NCT00138658,34.56790123,A Study of OGX-011/Gemcitabine/Platinum-Based Regimen in Stage IIIB/IV Non-Small Cell Lung Cancer (NSCLC),Completed,Phase 1/Phase 2,,November 2004,March 2010,Treatment,Los Angeles,California,90033,All,18.0,2010-03-01,2004-11-01,1946.0,1.0,90033
NCT00139659,19.38453318,A One Year Clinical Trial Assessing the Usefulness and Safety of Inhaled Insulin in Diabetics With Asthma,Completed,Phase 3,Randomized,January 2003,October 2008,Treatment,Glendale,Arizona,85306,All,18.0,2008-10-01,2003-01-01,2100.0,1.0,85306
NCT00144339,40.99070223,Evaluation of the Long- Term Effects of Spiriva on Lung Function in COPD Patients,Completed,Phase 3,,December 2002,,Treatment,Anniston,Alabama,,All,40.0,,2002-12-01,731.0,1.0,36201
NCT00147537,41.98247536,"Combination Study Of CP-751,871 With Paclitaxel And Carboplatin In Advanced Lung Cancer",Completed,Phase 1/Phase 2,Randomized,February 2005,August 2011,Treatment,Tucson,Arizona,85719,All,18.0,2011-08-01,2005-02-01,2372.0,1.0,85719
NCT00159913,2.673160173,"A Randomized, Double-Blind, Placebo-Controlled Study of Sildenafil in Children With Pulmonary Arterial Hypertension.",Completed,Phase 3,Randomized,August 2003,June 2008,Treatment,Palo Alto,California,94304,All,18.0,2008-06-01,2003-08-01,1766.0,1.0,94304
NCT00168831,25.35410676,Tiotropium / Respimat One-Year Study,Completed,Phase 3,Randomized,February 2003,,Treatment,Birmingham,Alabama,,All,40.0,,2003-02-01,731.0,1.0,35203
NCT00168844,20.55305863,Tiotropium / Respimat One-Year Study,Completed,Phase 3,Randomized,January 2003,,Treatment,Los Angeles,California,,All,40.0,,2003-01-01,731.0,1.0,90001
NCT00171834,45.71428571,"Dose Escalating Study of the Safety and Efficacy of Patupilone, q3w, in Patients With Non-small Cell Lung Cancer",Completed,Phase 1/Phase 2,Non-Randomized,August 2003,September 2008,Treatment,Louisville,Kentucky,40232-5070,All,18.0,2008-09-01,2003-08-01,1858.0,1.0,40232
NCT00182689,32.25146199,Sorafenib in Treating Patients With Extensive Stage Small Cell Lung Cancer,Completed,Phase 2,,July 2005,October 2008,Treatment,Portland,Oregon,97239,All,18.0,2008-10-01,2005-07-01,1188.0,1.0,97239
NCT00191139,21.875,"Gemcitabine or Gemcitabine Plus Docetaxel After Cisplatin, Etoposide and Radiation in Non Small Cell Lung Cancer (NSCLC)",Completed,Phase 2,Randomized,March 2003,February 2009,Treatment,Denver,Colorado,80218,All,18.0,2009-02-01,2003-03-01,2164.0,1.0,80218
NCT00200967,13.96825397,Asthma Clinical Research Network (ACRN) Trial - Long-Acting Beta Agonist Response by Genotype (LARGE),Completed,Phase 3,Randomized,December 2004,February 2008,Treatment,San Diego,California,92103,All,18.0,2008-02-01,2004-12-01,1157.0,1.0,92103
NCT00207740,23.05019542,A Study of Safety and Efficacy of CNTO 148 in Patients With Severe Persistent Asthma,Completed,Phase 2,Randomized,August 2004,July 2007,Treatment,Los Angeles,California,,All,18.0,2007-07-01,2004-08-01,1064.0,1.0,90001
NCT00216203,6.060606061,Pemetrexed Plus Cetuximab in Patients With Recurrent Non Small Cell Lung Cancer,Completed,Phase 1/Phase 2,,May 2005,December 2008,Treatment,Galesburg,Illinois,61401,All,18.0,2008-12-01,2005-05-01,1310.0,4.0,61401
NCT00227539,4.0,"Positron Emission Tomography in Predicting Response in Patients Who Are Undergoing Treatment With Pemetrexed Disodium and Cisplatin With or Without Surgery for Stage I, Stage II, or Stage III Non-Small Cell Lung Cancer",Completed,Phase 2,,July 2005,November 2013,Treatment,Seattle,Washington,98109-1023,All,18.0,2013-11-01,2005-07-01,3045.0,1.0,98109
NCT00228553,47.60601915,Extension Study of the Safety and Efficacy of Armodafinil in the Treatment of Patients With Excessive Sleepiness,Completed,Phase 3,Non-Randomized,May 2004,July 2006,Treatment,Birmingham,Alabama,35213,All,18.0,2006-07-01,2004-05-01,791.0,1.0,35213
NCT00228566,21.05263158,Study to Assess Patient Reported Outcomes With Armodafinil Treatment for Excessive Sleepiness in Adults With Narcolepsy or Obstructive Sleep Apnea/Hypopnea Syndrome,Completed,Phase 3,Non-Randomized,October 2005,July 2006,Treatment,Birmingham,Alabama,35213,All,18.0,2006-07-01,2005-10-01,273.0,1.0,35213
NCT00231465,4.545454545,Phase II Study of Docetaxel + ZD1839 in Elderly Patients With Non-Small Cell Lung Cancer,Completed,Phase 2,,July 2003,August 2012,Treatment,Tampa,Florida,33612,All,70.0,2012-08-01,2003-07-01,3319.0,1.0,33612
NCT00232557,5.958829902,Telecommunications System in Asthma,Completed,Phase 3,Randomized,August 2004,December 2009,Treatment,Boston,Massachusetts,02130,All,18.0,2009-12-01,2004-08-01,1948.0,1.0,02130
NCT00243074,21.27659574,S0509 - AZD2171 in Treating Patients With Malignant Pleural Mesothelioma That Cannot Be Removed By Surgery,Completed,Phase 2,,November 2005,December 2011,Treatment,San Antonio,Texas,78245,All,18.0,2011-12-01,2005-11-01,2221.0,1.0,78245
NCT00244725,7.650205539,Odiparcil For The Prevention Of Venous Thromboembolism,Completed,Phase 2,Randomized,September 2005,September 2006,Prevention,Birmingham,Alabama,35209,All,35.0,2006-09-01,2005-09-01,365.0,1.0,35209
NCT00247416,5.225806452,Effects of Carboplatin and Gemcitabine on Stage IIIB Pleural Effusion and Stage IV Lung Cancer,Completed,Phase 2,Randomized,August 2005,July 2009,Treatment,Danville,Kentucky,40422,All,18.0,2009-07-01,2005-08-01,1430.0,4.0,40422
NCT00248495,2.631578947,"Pemetrexed Disodium and Cisplatin in Treating Patients Who Are Undergoing Surgery for Stage I, Stage II, or Stage III Non-Small Cell Lung Cancer",Completed,Phase 2,,"June 8, 2005","April 5, 2017",Treatment,Buffalo,New York,14263-0001,All,18.0,2017-04-01,2005-06-01,4322.0,1.0,14263
NCT00250679,27.30371791,Safety and Efficacy of Arformoterol Tartrate Inhalation Solution in Subjects With Chronic Obstructive Pulmonary Disease,Completed,Phase 3,Randomized,October 2005,October 2007,Treatment,Birmingham,Alabama,33744,All,35.0,2007-10-01,2005-10-01,730.0,1.0,33744
NCT00255047,8.861391361,Safety and Immune Response of Different Pediatric Combination Vaccines.,Completed,Phase 3,Randomized,November 2005,February 2009,Prevention,Tuscaloosa,Alabama,35401,All,18.0,2009-02-01,2005-11-01,1188.0,1.0,35401
NCT00257608,14.27432795,A Study Comparing Bevacizumab Therapy With or Without Erlotinib for First-Line Treatment of Non-Small Cell Lung Cancer (ATLAS),Completed,Phase 3,Randomized,January 2006,November 2014,Treatment,Mobile,Alabama,36608,All,18.0,2014-11-01,2006-01-01,3226.0,1.0,36608
NCT00258895,1.952619971,Safety and Immunogenicity of DAPTACEL® as 5th Dose in Children 4 to 6 Years Old After 4 Doses of Pentacel™ or DAPTACEL®,Completed,Phase 3,Non-Randomized,March 2005,April 2007,Prevention,Fayetteville,Arkansas,15213,All,4.0,2007-04-01,2005-03-01,761.0,1.0,15213
NCT00261833,11.80941787,Zemaira in Subjects With Emphysema Due to Alpha1-Proteinase Inhibitor Deficiency,Completed,Phase 4,Randomized,March 2006,September 2012,Treatment,Denver,Colorado,80206,All,18.0,2012-09-01,2006-03-01,2376.0,1.0,80206
NCT00264576,0.3262720886,Study of the Safety and Immunogenicity of an Influenza Vaccine Administered to Healthy Adults,Completed,Phase 2,Randomized,October 2005,May 2006,Prevention,Bardstown,Kentucky,40004,All,18.0,2006-05-01,2005-10-01,212.0,4.2,40004
NCT00265317,19.72445465,A Study In Patients With Non-Small Cell Lung Cancer Testing If Erlotinib Plus SU011248 (Sunitinib) Is Better Than Erlotinib Alone,Completed,Phase 2,Randomized,June 2006,January 2012,Treatment,Birmingham,Alabama,35233,All,18.0,2012-01-01,2006-06-01,2040.0,1.0,35233
NCT00266877,14.98778999,Study Evaluating the Safety Of HKI-272 (Neratinib) In Subjects With Advanced Non-Small Cell Lung Cancer,Completed,Phase 2,Non-Randomized,December 2005,January 2009,Treatment,Los Angeles,California,90033,All,18.0,2009-01-01,2005-12-01,1127.0,1.0,90033
NCT00267202,21.11722387,Study to Evaluate the Effect of Omalizumab on Improving the Tolerability of Specific Immunotherapy in Patients With Persistent Allergic Asthma,Completed,Phase 4,Randomized,December 2005,April 2008,Treatment,East Hanover,New Jersey,,All,18.0,2008-04-01,2005-12-01,852.0,1.0,07936
NCT00279916,13.21256039,Short Term Relief of Eustachian Tube Dysfunction and Serous Otitis Media Using Intranasal Steroid Sprays,Completed,Phase 3,Randomized,"September 1, 2005",March 2009,Treatment,Rochester,Minnesota,55905,All,6.0,2009-03-01,2005-09-01,1277.0,1.0,55905
NCT00280735,20.83333333,Ph II Adjuvant Carboplatin/Docetaxel in Curatively Resected Stage I-IIIA NSCLC,Completed,Phase 2,,May 2004,July 2011,Treatment,Chapel Hill,North Carolina,27599,All,18.0,2011-07-01,2004-05-01,2617.0,1.0,27599
NCT00282295,2.088680709,"US-licensed Combined Vaccine Against Tetanus & Diphtheria, Given With US-licensed Vaccine Against Meningococcal Disease",Completed,Phase 4,Randomized,"January 25, 2006","August 8, 2006",Prevention,Chandler,Arizona,85224,All,11.0,2006-08-01,2006-01-01,212.0,1.0,85224
NCT00283244,24.70291147,"Ph II Gemcitabine, Erlotinib, and Gemcitabine With Erlotinib/Elderly Patients W/ IIIB/IV NSCLC",Completed,Phase 2,Randomized,March 2006,October 2014,Treatment,Fayetteville,Arkansas,72703,All,70.0,2014-10-01,2006-03-01,3136.0,1.0,72703
NCT00284141,32.65306122,Study of AVE0005 (VEGF Trap) in Locally Advanced or Metastatic Platinum- and Erlotinib- Resistant Non-small-cell-lung Adenocarcinoma,Completed,Phase 2,Non-Randomized,January 2006,July 2008,Treatment,Bridgewater,New Jersey,08807,All,18.0,2008-07-01,2006-01-01,912.0,1.0,08807
NCT00285012,33.04202545,Smoking Cessation in Subjects With Mild-to-moderate Chronic Obstructive Pulmonary Disease (COPD).,Completed,Phase 3,Randomized,May 2006,April 2009,Treatment,Birmingham,Alabama,35249-2181,All,35.0,2009-04-01,2006-05-01,1066.0,1.0,35249
NCT00289198,19.20529801,Once-Daily Investigational Nasal Spray In Adults And Adolescents With Perennial Allergic Rhinitis (PAR),Completed,Phase 3,Randomized,"February 7, 2006","July 4, 2006",Treatment,San Diego,California,92123,All,12.0,2006-07-01,2006-02-01,150.0,1.0,92123
NCT00289783,10.46572005,Safety and Immunogenicity Study of Hib-MenCY-TT Vaccine Compared to Licensed Hib Conjugate Vaccine,Completed,Phase 3,Randomized,"February 22, 2006","February 26, 2008",Prevention,Birmingham,Alabama,35216,All,18.0,2008-02-01,2006-02-01,730.0,1.0,35216
NCT00294762,4.19600939,Erlotinib (Tarceva) as a Single Agent or Intercalated With Combination Chemotherapy in Patients With EGFR Positive NSCLC,Completed,Phase 2,Randomized,January 2006,March 2009,Treatment,Alhambra,California,91801,All,18.0,2009-03-01,2006-01-01,1155.0,1.0,91801
NCT00296491,13.23477627,Study Of Allergic Rhinitis In Patients Who Also Have Asthma,Completed,Phase 4,Randomized,September 2005,October 2007,Treatment,Birmingham,Alabama,35209,All,15.0,2007-10-01,2005-09-01,760.0,1.0,35209
NCT00298896,7.272727273,Safety and Efficacy Clinical Study of SNS-595 in Patients With Advanced Small Cell Lung Cancer,Completed,Phase 2,,February 2006,June 2008,Treatment,Sacramento,California,95817,All,18.0,2008-06-01,2006-02-01,851.0,1.0,95817
NCT00301366,2.631578947,The Safety and Tolerability of Alpha-1 Modified Process (MP) In Subjects With Alpha-1-antitrypsin (AAT) Deficiency,Completed,Phase 3,Non-Randomized,June 2006,March 2007,Treatment,Denver,Colorado,80206,All,18.0,2007-03-01,2006-06-01,273.0,1.0,80206
NCT00301808,17.24137931,"Cisplatin, Pemetrexed Disodium, and Radiation Therapy Followed by Docetaxel in Treating Patients With Stage III Non-Small Cell Lung Cancer",Completed,Phase 2,,November 2005,October 2012,Treatment,Detroit,Michigan,48201-1379,All,18.0,2012-10-01,2005-11-01,2526.0,1.0,48201
NCT00303459,24.40790656,Effects of the Combination of Bosentan and Sildenafil Versus Sildenafil Monotherapy on Pulmonary Arterial Hypertension (PAH),Completed,Phase 4,Randomized,May 2006,December 2013,Treatment,La Jolla,California,92037-7381,All,12.0,2013-12-01,2006-05-01,2771.0,1.0,92037
NCT00309907,10.25641026,Etanercept in Treating Young Patients With Idiopathic Pneumonia Syndrome After Undergoing a Donor Stem Cell Transplant,Completed,Phase 2,,April 2006,September 2011,Treatment,Birmingham,Alabama,35294,All,18.0,2011-09-01,2006-04-01,1979.0,1.0,35294
NCT00309946,1.960784314,Cediranib Maleate in Treating Patients With Malignant Mesothelioma That Cannot Be Removed By Surgery,Completed,Phase 2,,December 2005,September 2010,Treatment,Chicago,Illinois,60637-1470,All,18.0,2010-09-01,2005-12-01,1735.0,1.0,60637
NCT00312377,6.396598845,ZACTIMA (an Anti-EGFR / Anti-VEGF Agent) Combined With Docetaxel Compared to Docetaxel in Non-small Cell Lung Cancer,Completed,Phase 3,Randomized,May 2006,March 2014,Treatment,Fullerton,California,,All,18.0,2014-03-01,2006-05-01,2861.0,1.0,58441
NCT00316186,24.24242424,First-line Treatment Of Subjects With Extensive Disease Small Cell Lung Cancer With Weekly Hycamtin And Paraplatin,Completed,Phase 2,Non-Randomized,June 2005,May 2009,Treatment,Tucson,Arizona,85712,All,18.0,2009-05-01,2005-06-01,1430.0,1.0,85712
NCT00317044,13.84869562,Safety and Efficacy Study to Determine Anti-Asthmatic Effect of Esomeprazole Magnesium; Nexium Reflux Asthma,Completed,Phase 2,Randomized,April 2006,July 2008,Treatment,Birmingham,Alabama,,All,18.0,2008-07-01,2006-04-01,822.0,1.0,35203
NCT00319020,38.0952381,Bosentan in Children With Pulmonary Arterial Hypertension Extension Study,Completed,Phase 3,,"August 23, 2005","October 28, 2011",Treatment,Denver,Colorado,80218,All,2.0,2011-10-01,2005-08-01,2252.0,1.0,80218
NCT00319111,21.85430464,Bosentan in Patients With Inoperable Chronic Thromboembolic Pulmonary Hypertension (CTEPH),Completed,Phase 3,Non-Randomized,January 2006,April 2009,Treatment,La Jolla,California,92037-1300,All,18.0,2009-04-01,2006-01-01,1186.0,1.0,92037
